City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Terpeziţa,44.28,23.52,37.4,93,0,2.24,RO,1603157309
Marrakesh,31.63,-8.01,69.8,43,77,3.36,MA,1603157254
Simões,-7.6,-40.82,80.64,26,100,9.48,BR,1603157309
Lorengau,-2.02,147.27,86.25,63,100,3.6,PG,1603157309
Belyy Yar,53.6,91.39,33.8,80,100,11.18,RU,1603157309
Kabompo,-13.59,24.2,62.35,30,0,4.07,ZM,1603157309
Grong,64.47,12.31,30.25,93,89,3.49,NO,1603157309
Orlik,52.52,99.83,9.75,83,96,4.81,RU,1603157309
Bahía Solano,6.23,-77.4,74.93,84,100,7.45,CO,1603157309
Chicama,-7.84,-79.15,63.32,80,2,7.11,PE,1603157309
Skjervøy,70.03,20.97,37.78,72,100,5.41,NO,1603157310
Huarmey,-10.07,-78.15,62.53,85,3,7.09,PE,1603157310
Klaksvík,62.23,-6.59,41.0,75,2,6.93,FO,1603157310
Comodoro Rivadavia,-45.87,-67.5,48.2,42,0,8.05,AR,1603157310
Ostrovnoy,68.05,39.51,35.17,84,100,13.38,RU,1603157310
Casa Blanca,18.15,-97.13,70.63,71,5,4.99,MX,1603157310
Moses Lake,47.13,-119.28,62.6,33,1,21.92,US,1603157310
Beloha,-25.17,45.05,62.78,88,0,2.68,MG,1603157310
Oildale,35.42,-119.02,84.2,25,1,6.93,US,1603157310
Batetskiy,58.65,30.3,34.21,92,100,9.8,RU,1603157311
Sampit,-2.53,112.95,79.77,86,99,2.21,ID,1603157311
Asău,46.43,26.4,41.0,93,0,1.12,RO,1603157311
North Bend,43.41,-124.22,61.0,87,1,17.22,US,1603157311
Tiznit Province,29.58,-9.5,71.31,28,100,6.78,MA,1603157301
Safi,32.3,-9.24,68.27,63,34,8.23,MA,1603157311
Samarai,-10.62,150.67,81.27,80,12,7.31,PG,1603157311
Kapiri Mposhi,-13.97,28.68,66.74,29,0,6.53,ZM,1603157311
Walvis Bay,-22.96,14.51,55.99,93,0,8.05,NA,1603157311
Arrondissement d'Arcachon,44.59,-1.05,57.2,93,100,6.93,FR,1603157311
Lapi,17.72,121.9,78.55,86,100,8.25,PH,1603157311
Santa Maria,-29.68,-53.81,72.63,63,0,4.32,BR,1603157312
Bahía Blanca,-38.72,-62.27,52.63,44,0,13.04,AR,1603157312
Patancheru,17.53,78.27,72.0,100,75,3.36,IN,1603157312
Jalu,29.03,21.55,70.38,55,0,11.12,LY,1603157312
Great Yarmouth,52.61,1.73,55.0,92,100,11.99,GB,1603157312
Chiungutwa,-10.88,38.98,69.21,86,2,1.99,TZ,1603157312
Ust'-Shonosha,61.15,41.34,27.32,98,50,4.72,RU,1603157312
Riviere-au-Renard,49.0,-64.4,48.2,70,90,3.36,CA,1603157312
Burgersdorp,-31.0,26.33,60.48,32,5,6.6,ZA,1603157312
Manuk Mangkaw,4.8,119.85,80.8,85,100,20.47,PH,1603157313
Uddevalla,58.35,11.94,42.01,88,100,6.29,SE,1603157313
Lockhart,28.62,-81.44,77.0,97,100,9.26,US,1603157313
Constitución,-35.33,-72.42,54.45,59,98,13.73,CL,1603157313
Verkhnetulomskiy,68.61,31.8,30.2,100,75,2.24,RU,1603157313
Maragogi,-9.01,-35.22,75.52,78,12,9.91,BR,1603157313
Aquin,18.28,-73.4,79.36,78,83,1.45,HT,1603157313
Egvekinot,66.32,-179.17,28.29,98,9,4.38,RU,1603157314
Dindori,22.95,81.08,68.95,72,15,1.16,IN,1603157314
Nanortalik,60.14,-45.24,37.56,87,100,7.61,GL,1603157314
Bandi̇̄pur,27.93,84.42,60.89,95,0,2.19,NP,1603157314
Kamina,-8.74,24.99,64.83,94,0,4.85,CD,1603157314
Bonthe,7.53,-12.51,78.39,87,100,5.26,SL,1603157314
Praxédis Guerrero,31.37,-106.02,80.6,9,75,4.7,MX,1603157314
Nemuro,43.32,145.57,59.0,44,40,11.41,JP,1603157314
Porto Velho,-8.76,-63.9,75.2,94,100,1.12,BR,1603157314
Vagay,57.94,69.02,36.95,95,1,4.9,RU,1603157314
Bayir,37.27,28.22,57.2,87,0,3.36,TR,1603157315
Phuket,8.0,98.25,80.6,88,20,3.36,TH,1603157315
Hirado,33.36,129.55,71.01,52,20,13.87,JP,1603157315
Straumen,63.87,11.3,36.0,100,37,6.93,NO,1603157315
Celestún,20.87,-90.4,80.01,82,0,13.18,MX,1603157315
Sumbe,-11.21,13.84,74.19,85,49,4.88,AO,1603157315
Alice Town,25.72,-79.3,82.51,74,100,19.82,BS,1603157315
Kaspiysk,42.88,47.64,64.4,59,100,22.37,RU,1603157315
Kaeo,-35.1,173.78,66.49,62,100,10.87,NZ,1603157315
Iqaluit,63.75,-68.51,21.2,85,75,8.05,CA,1603157091
Sobolevo,54.43,31.9,36.57,88,8,13.56,RU,1603157316
Polunochnoye,60.87,60.42,30.61,98,41,3.29,RU,1603157316
Havre-St-Pierre,50.23,-63.6,42.8,93,90,5.82,CA,1603157316
Iquique,-20.22,-70.14,62.6,72,90,8.05,CL,1603157204
Samarinda,-0.5,117.15,74.93,93,100,1.34,ID,1603157316
Vanderhoof,54.02,-124.02,35.69,88,0,3.29,CA,1603157316
Talnakh,69.49,88.4,12.2,92,75,6.71,RU,1603157316
Okhotsk,59.38,143.3,24.03,79,22,23.55,RU,1603157316
Bathsheba,13.22,-59.52,82.4,78,40,2.24,BB,1603157316
Rocha,-34.48,-54.33,64.15,88,83,14.2,UY,1603157316
Copiapó,-27.37,-70.33,55.4,82,0,8.05,CL,1603157196
Masvingo,-20.06,30.83,63.59,42,0,3.71,ZW,1603157317
Kavaratti,10.57,72.64,81.0,75,79,10.8,IN,1603157317
Tomatlán,19.93,-105.25,78.49,87,1,2.95,MX,1603157317
Druzhba,52.04,33.95,36.57,84,0,9.66,UA,1603157317
Purpe,64.48,76.69,26.06,99,72,6.44,RU,1603157317
Fairbanks,64.84,-147.72,21.99,85,90,1.25,US,1603157312
Vestmanna,62.16,-7.17,41.0,75,2,6.93,FO,1603157317
Wasilla,61.58,-149.44,35.01,74,90,2.1,US,1603157317
Poum,-20.23,164.02,75.38,72,0,9.98,NC,1603157317
Fonte Boa,-2.5,-66.27,75.33,93,32,0.83,BR,1603157317
Ozernovskiy,51.5,156.52,41.61,66,99,14.14,RU,1603157318
Emba,48.83,58.14,48.72,47,0,9.71,KZ,1603157318
Hobyo,5.35,48.53,79.54,78,0,14.72,SO,1603157318
Bocas del Toro,9.33,-82.25,64.0,100,100,5.75,PA,1603157318
Chernyshevskiy,63.01,112.47,20.95,98,98,6.33,RU,1603157318
Qaryat Sulūq,31.67,20.25,65.95,79,20,2.19,LY,1603157318
Jaguaquara,-13.53,-39.97,66.88,95,96,6.91,BR,1603157251
Verkhneural'sk,53.88,59.21,46.4,39,75,8.95,RU,1603157319
Eureka,40.8,-124.16,55.99,89,3,3.0,US,1603157319
Katherine,-14.47,132.27,91.4,49,20,9.17,AU,1603157319
Lincoln,40.8,-96.67,42.8,60,1,5.82,US,1603157286
Cururupu,-1.83,-44.87,77.25,83,78,4.88,BR,1603157129
Zuénoula,7.43,-6.04,71.06,93,2,5.03,CI,1603157319
San Angelo,31.46,-100.44,66.2,63,1,4.7,US,1603157229
Illela,13.73,5.3,85.21,31,0,6.13,NG,1603157319
Chongwe,-15.33,28.68,64.4,27,0,2.24,ZM,1603157319
Chara,56.91,118.26,26.8,95,100,6.71,RU,1603157319
Margate,51.38,1.39,54.0,66,100,5.01,GB,1603157319
Mount Gambier,-37.83,140.77,57.2,67,90,5.82,AU,1603157320
São José da Coroa Grande,-8.9,-35.15,75.87,77,11,10.04,BR,1603157320
Oancea,45.92,28.1,46.54,57,0,0.63,RO,1603157320
San Cristobal,7.77,-72.22,84.2,58,40,4.7,VE,1603157320
Khāsh,28.22,61.22,42.48,59,0,2.55,IR,1603157320
Virginia Beach,36.85,-75.98,68.0,88,90,6.93,US,1603157036
Pavlivka,49.44,28.46,39.18,89,0,7.0,UA,1603157320
Malanje,-9.54,16.34,65.5,98,43,6.49,AO,1603157320
Rawson,-43.3,-65.1,51.57,48,0,5.73,AR,1603157306
Leme,-22.19,-47.39,66.7,89,100,9.86,BR,1603157320
Christchurch,-43.53,172.63,60.01,54,17,21.92,NZ,1603157219
Bowen,-20.02,148.23,86.0,45,75,6.93,AU,1603157320
Ipixuna,-1.76,-48.8,75.2,94,40,2.24,BR,1603157321
Santiago de Compostela,42.88,-8.55,61.0,93,90,10.29,ES,1603157232
Fuerte Olimpo,-21.04,-57.87,75.72,86,0,4.65,PY,1603157321
Aasiaat,68.71,-52.87,36.03,84,100,16.67,GL,1603157321
Ayan,56.45,138.17,30.65,78,0,12.62,RU,1603157321
Porterville,36.07,-119.02,86.0,27,1,4.7,US,1603157210
Nizhniy Tsasuchey,50.52,115.13,38.82,74,91,15.73,RU,1603157321
La Ronge,55.1,-105.28,26.6,58,90,4.7,CA,1603157321
Lucapa,-8.42,20.74,65.1,92,0,1.45,AO,1603157321
Krasavino,60.96,46.48,32.16,98,100,5.08,RU,1603157321
Āsbe Teferī,9.08,40.87,58.69,60,0,3.22,ET,1603157321
Bousso,10.48,16.71,73.83,58,17,2.86,TD,1603157165
Pinerolo,44.88,7.35,52.0,99,91,1.99,IT,1603157322
Sumkino,58.11,68.32,36.27,94,0,5.79,RU,1603157322
Nakano,36.75,138.37,61.0,77,3,3.2,JP,1603157322
Cabra,37.47,-4.44,68.0,45,100,8.05,ES,1603157322
Muroto-misakicho,33.28,134.15,69.8,46,40,10.29,JP,1603157322
Kristiansund,63.11,7.73,37.4,69,0,17.22,NO,1603157322
Beringovskiy,63.05,179.32,39.58,82,97,11.5,RU,1603157322
Āsosa,10.07,34.53,61.09,94,46,3.76,ET,1603157322
Prince Rupert,54.32,-130.32,48.2,70,90,8.05,CA,1603157289
Kuala Terengganu,5.33,103.14,82.4,88,20,3.36,MY,1603157322
Morro Bay,35.37,-120.85,64.99,57,10,6.02,US,1603157142
Maceió,-9.67,-35.74,71.6,94,20,4.7,BR,1603157149
Marsaxlokk,35.84,14.54,64.99,77,0,3.36,MT,1603157323
Zanjān,36.67,48.48,52.63,35,0,0.81,IR,1603157323
Ghanzi,-21.57,21.78,72.27,22,0,5.5,BW,1603157323
Arawa,-6.21,155.54,87.31,65,4,4.0,PG,1603157323
Mormugao,15.4,73.8,77.0,100,20,4.7,IN,1603157323
Kumul,42.8,93.45,44.62,55,1,2.62,CN,1603157323
Leshukonskoye,64.9,45.76,29.03,99,100,3.6,RU,1603157323
Sorong,-0.88,131.25,81.52,78,100,6.89,ID,1603157323
Najrān,17.49,44.13,59.0,28,0,4.7,SA,1603157323
Sam Roi Yot,12.27,99.87,78.8,88,20,2.24,TH,1603157324
Navolato,24.77,-107.69,87.01,78,0,5.01,MX,1603157324
Proletarsk,46.7,41.72,51.78,88,75,5.64,RU,1603157324
Burgeo,47.62,-57.62,52.66,92,98,8.25,CA,1603157324
Teya,60.38,92.63,26.2,95,100,6.71,RU,1603157324
Velikodvorskiy,55.25,40.67,36.41,83,60,10.8,RU,1603157203
Sturgis,41.8,-85.42,42.01,93,90,5.82,US,1603157115
Salinópolis,-0.61,-47.36,80.71,81,8,12.62,BR,1603157324
Jacareacanga,-6.22,-57.75,77.97,72,100,1.57,BR,1603157324
San Nicolas,18.17,120.6,84.2,74,75,16.11,PH,1603157324
Ust-Maya,60.42,134.53,17.69,91,99,3.56,RU,1603157325
Māngrol,21.12,70.12,82.0,81,28,5.26,IN,1603157325
Nysa,50.47,17.33,36.0,71,0,1.01,PL,1603157325
Acaraú,-2.89,-40.12,78.87,80,0,18.23,BR,1603157251
Labuhan,-6.88,112.21,82.85,70,60,7.65,ID,1603157325
Abonnema,4.71,6.79,75.97,91,2,4.34,NG,1603157325
Santa Maria da Vitória,-13.39,-44.19,76.03,67,75,3.06,BR,1603157093
Ust-Nera,64.57,143.2,9.03,83,3,3.85,RU,1603157325
Manado,1.49,124.85,89.6,55,20,5.82,ID,1603157259
Ancud,-41.87,-73.82,45.0,86,40,5.82,CL,1603157325
Palmer,42.16,-72.33,55.0,93,75,4.7,US,1603157325
Yangambi,0.81,24.43,69.85,98,60,1.88,CD,1603157325
Ocho Rios,18.4,-77.1,75.0,95,100,9.08,JM,1603157326
Tura,25.52,90.22,73.4,89,11,3.31,IN,1603157303
Zambezi,-13.54,23.1,66.24,27,0,4.27,ZM,1603157326
Ballina,-28.87,153.57,73.99,60,40,14.99,AU,1603157326
Huangmei,30.19,116.03,64.35,58,32,6.42,CN,1603157326
Ternate,0.8,127.4,83.46,71,64,8.12,ID,1603157326
Vryburg,-26.96,24.73,63.43,27,0,5.17,ZA,1603157326
Diourbel,14.66,-16.39,82.4,69,16,4.7,SN,1603157326
Atambua,-9.11,124.89,88.12,40,0,2.01,ID,1603157326
Port Blair,11.67,92.75,81.72,82,89,15.05,IN,1603157326
